SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","Risk if Primary Control
Not Implemented",Possible Compensating Control #1,Compensating Control Name,Compensating Control #,Compensating Control Justification,Possible Compensating Control #2,Compensating Control Name,Compensating Control #,Compensating Control Justification
Functional Properties,TDA-04.1,"Mechanisms exist to require software developers to provide information describing the functional properties of the security, compliance and resilience controls to be utilized within Technology Assets, Applications and/or Services (TAAS) in sufficient detail to permit analysis and testing of the controls.","Without Functional Properties, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Functional Properties (TDA-04.1) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",GOV-02,"Publishing Security, Compliance & Resilience Documentation","Mechanisms exist to establish, maintain and disseminate policies, standards and procedures necessary for secure, compliant and resilient capabilities.","Publishing Security, Compliance & Resilience Documentation (GOV-02) provides resilience and recovery capability that compensates for the absence of Functional Properties (TDA-04.1) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Software Bill of Materials (SBOM),TDA-04.2,"Mechanisms exist to generate, or obtain, a Software Bill of Materials (SBOM) for Technology Assets, Applications and/or Services (TAAS) that lists software packages in use, including versions and applicable licenses.","Without Software Bill of Materials (SBOM), residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",GOV-02,"Publishing Security, Compliance & Resilience Documentation","Mechanisms exist to establish, maintain and disseminate policies, standards and procedures necessary for secure, compliant and resilient capabilities.","Publishing Security, Compliance & Resilience Documentation (GOV-02) provides resilience and recovery capability that compensates for the absence of Software Bill of Materials (SBOM) (TDA-04.2) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",TDA-04,Documentation Requirements,"Mechanisms exist to obtain, protect and distribute administrator documentation for Technology Assets, Applications and/or Services (TAAS) that describe:
(1) Secure configuration, installation and operation of the TAAS;
(2) Effective use and maintenance of security features/functions; and
(3) Known vulnerabilities regarding configuration and use of administrative (e.g., privileged) functions.","Documentation Requirements (TDA-04) provides policy-level governance that compensates for the absence of Software Bill of Materials (SBOM) (TDA-04.2) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Developer Architecture & Design,TDA-05,"Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to produce a design specification and security architecture that: 
(1) Is consistent with and supportive of the organization's security architecture which is established within and is an integrated part of the organization's enterprise architecture;
(2) Accurately and completely describes the required security functionality and the allocation of security, compliance and resilience controls among physical and logical components; and
(3) Expresses how individual security functions, mechanisms and services work together to provide required security capabilities and a unified approach to protection.","Without Developer Architecture & Design, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",SEA-01,Secure Engineering Principles,"Mechanisms exist to facilitate the implementation of industry-recognized security, compliance and resilience practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","Secure Engineering Principles (SEA-01) provides overlapping security capability that compensates for the absence of Developer Architecture & Design (TDA-05) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",TDA-06,Secure Software Development Practices (SSDP),Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"Secure Software Development Practices (SSDP) (TDA-06) provides overlapping security capability that compensates for the absence of Developer Architecture & Design (TDA-05) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Physical Diagnostic & Test Interfaces,TDA-05.1,Mechanisms exist to secure physical diagnostic and test interfaces to prevent misuse.,"Without Physical Diagnostic & Test Interfaces, unauthorized physical access to facilities may enable theft, tampering, or direct attacks on infrastructure.",TDA-06,Secure Software Development Practices (SSDP),Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"Secure Software Development Practices (SSDP) (TDA-06) provides overlapping security capability that compensates for the absence of Physical Diagnostic & Test Interfaces (TDA-05.1) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",SEA-01,Secure Engineering Principles,"Mechanisms exist to facilitate the implementation of industry-recognized security, compliance and resilience practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","Secure Engineering Principles (SEA-01) provides overlapping security capability that compensates for the absence of Physical Diagnostic & Test Interfaces (TDA-05.1) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Diagnostic & Test Interface Monitoring,TDA-05.2,Mechanisms exist to enable endpoint devices to log events and generate alerts for attempts to access diagnostic and test interfaces.,"Without Diagnostic & Test Interface Monitoring, security events may go undetected, allowing threats to persist unnoticed and increasing breach dwell time.",SEA-01,Secure Engineering Principles,"Mechanisms exist to facilitate the implementation of industry-recognized security, compliance and resilience practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","Secure Engineering Principles (SEA-01) provides overlapping security capability that compensates for the absence of Diagnostic & Test Interface Monitoring (TDA-05.2) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",TDA-05,Developer Architecture & Design,"Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to produce a design specification and security architecture that: 
(1) Is consistent with and supportive of the organization's security architecture which is established within and is an integrated part of the organization's enterprise architecture;
(2) Accurately and completely describes the required security functionality and the allocation of security, compliance and resilience controls among physical and logical components; and
(3) Expresses how individual security functions, mechanisms and services work together to provide required security capabilities and a unified approach to protection.","Developer Architecture & Design (TDA-05) provides overlapping security capability that compensates for the absence of Diagnostic & Test Interface Monitoring (TDA-05.2) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Secure Software Development Practices (SSDP),TDA-06,Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Criticality Analysis During Development,TDA-06.1,"Mechanisms exist to require the developer of the Technology Asset, Application and/or Service (TAAS) to perform a criticality analysis at organization-defined decision points in the Secure Development Life Cycle (SDLC).","Without Criticality Analysis During Development, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",TDA-09,"Security, Compliance & Resilience Testing Throughout Development","Mechanisms exist to require system developers/integrators consult with security, compliance and/or resilience personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the control testing and evaluation process; and
(3) Document the results.","Security, Compliance & Resilience Testing Throughout Development (TDA-09) provides periodic assessment and assurance that compensates for the absence of Criticality Analysis During Development (TDA-06.1) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",SEA-01,Secure Engineering Principles,"Mechanisms exist to facilitate the implementation of industry-recognized security, compliance and resilience practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","Secure Engineering Principles (SEA-01) provides overlapping security capability that compensates for the absence of Criticality Analysis During Development (TDA-06.1) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Threat Modeling,TDA-06.2,"Mechanisms exist to perform threat modelling and other secure design techniques, to ensure that threats to software and solutions are identified and accounted for.","Without Threat Modeling, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",TDA-09,"Security, Compliance & Resilience Testing Throughout Development","Mechanisms exist to require system developers/integrators consult with security, compliance and/or resilience personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the control testing and evaluation process; and
(3) Document the results.","Security, Compliance & Resilience Testing Throughout Development (TDA-09) provides periodic assessment and assurance that compensates for the absence of Threat Modeling (TDA-06.2) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Threat Modeling (TDA-06.2) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Software Assurance Maturity Model (SAMM),TDA-06.3,"Mechanisms exist to utilize a Software Assurance Maturity Model (SAMM) to govern a secure development lifecycle for the development of Technology Assets, Applications and/or Services (TAAS).","Without Software Assurance Maturity Model (SAMM), residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Software Assurance Maturity Model (SAMM) (TDA-06.3) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",TDA-06,Secure Software Development Practices (SSDP),Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"Secure Software Development Practices (SSDP) (TDA-06) provides overlapping security capability that compensates for the absence of Software Assurance Maturity Model (SAMM) (TDA-06.3) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Supporting Toolchain,TDA-06.4,"Automated mechanisms exist to improve the accuracy, consistency and comprehensiveness of secure practices throughout the asset's lifecycle.","Without Supporting Toolchain, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",SEA-01,Secure Engineering Principles,"Mechanisms exist to facilitate the implementation of industry-recognized security, compliance and resilience practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","Secure Engineering Principles (SEA-01) provides overlapping security capability that compensates for the absence of Supporting Toolchain (TDA-06.4) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",TDA-06,Secure Software Development Practices (SSDP),Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"Secure Software Development Practices (SSDP) (TDA-06) provides overlapping security capability that compensates for the absence of Supporting Toolchain (TDA-06.4) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Software Design Review,TDA-06.5,"Mechanisms exist to have an independent review of the software design to validate:
(1) Applicable security, compliance and resilience requirements are met; and
(2) Identified risks are remediated.","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Software Design Root Cause Analysis,TDA-06.6,"Mechanisms exist to assess software design processes that includes: 
(1) Conducting Root Cause Analysis (RCA) to identify the underlying causes of issues or failures;
(2) Developing actions to address the root cause of the issue or failure; and
(3) Implementing the actions and monitoring the implementation for effectiveness.","Without Software Design Root Cause Analysis, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Software Design Root Cause Analysis (TDA-06.6) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",SEA-01,Secure Engineering Principles,"Mechanisms exist to facilitate the implementation of industry-recognized security, compliance and resilience practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","Secure Engineering Principles (SEA-01) provides overlapping security capability that compensates for the absence of Software Design Root Cause Analysis (TDA-06.6) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Programming Language Selection,TDA-06.7,"Mechanisms exist to:
(1) Define organization-approved programming language(s) for software development; and
(2) Document the justification for selection decisions.","Without Programming Language Selection, residual security, compliance, or resilience risk may accumulate without structured oversight, leading to unmanaged exposures.",TDA-06,Secure Software Development Practices (SSDP),Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"Secure Software Development Practices (SSDP) (TDA-06) provides overlapping security capability that compensates for the absence of Programming Language Selection (TDA-06.7) by addressing related risk objectives through an alternative control mechanism. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-04,Software Usage Restrictions,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,"Software Usage Restrictions (CFG-04) provides overlapping security capability that compensates for the absence of Programming Language Selection (TDA-06.7) by addressing related risk objectives through an alternative control mechanism. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Secure Development Environments,TDA-07,Mechanisms exist to maintain a segmented development network to ensure a secure development environment.,"Without Secure Development Environments, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Secure Development Environments (TDA-07) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-02,Secure Baseline Configurations,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.","Secure Baseline Configurations (CFG-02) provides configuration hardening that compensates for the absence of Secure Development Environments (TDA-07) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
"Separation of Development, Testing and Operational Environments",TDA-08,"Mechanisms exist to manage separate development, testing and operational environments to reduce the risks of unauthorized access or changes to the operational environment and to ensure no impact to production Technology Assets, Applications and/or Services (TAAS).","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Secure Migration Practices,TDA-08.1,"Mechanisms exist to ensure secure migration practices purge Technology Assets, Applications and/or Services (TAAS) of test/development/staging data and accounts before it is migrated into a production environment.","Without Secure Migration Practices, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CFG-02,Secure Baseline Configurations,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.","Secure Baseline Configurations (CFG-02) provides configuration hardening that compensates for the absence of Secure Migration Practices (TDA-08.1) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",NET-06,Network Segmentation (macrosegementation),"Mechanisms exist to ensure network architecture utilizes network segmentation to isolate Technology Assets, Applications and/or Services (TAAS) to protect from other network resources.","Network Segmentation (macrosegementation) (NET-06) provides network-level access restriction that compensates for the absence of Secure Migration Practices (TDA-08.1) by limiting attacker reach and lateral movement opportunities across the environment. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
"Security, Compliance & Resilience Testing Throughout Development",TDA-09,"Mechanisms exist to require system developers/integrators consult with security, compliance and/or resilience personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the control testing and evaluation process; and
(3) Document the results.","Without Security, Compliance & Resilience Testing Throughout Development, the organization may be unable to recover from disruptions, resulting in data loss and extended downtime.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Security, Compliance & Resilience Testing Throughout Development (TDA-09) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAO-02,Assessments,"Mechanisms exist to formally assess the security, compliance and resilience controls in Technology Assets, Applications and/or Services (TAAS) through Information Assurance Program (IAP) activities to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.","Assessments (IAO-02) provides periodic assessment and assurance that compensates for the absence of Security, Compliance & Resilience Testing Throughout Development (TDA-09) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Continuous Monitoring Plan,TDA-09.1,"Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to produce a plan for the continuous monitoring of security, compliance and/or resilience control effectiveness.","Without Continuous Monitoring Plan, security events may go undetected, allowing threats to persist unnoticed and increasing breach dwell time.",IAO-02,Assessments,"Mechanisms exist to formally assess the security, compliance and resilience controls in Technology Assets, Applications and/or Services (TAAS) through Information Assurance Program (IAP) activities to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.","Assessments (IAO-02) provides periodic assessment and assurance that compensates for the absence of Continuous Monitoring Plan (TDA-09.1) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",TDA-09,"Security, Compliance & Resilience Testing Throughout Development","Mechanisms exist to require system developers/integrators consult with security, compliance and/or resilience personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the control testing and evaluation process; and
(3) Document the results.","Security, Compliance & Resilience Testing Throughout Development (TDA-09) provides periodic assessment and assurance that compensates for the absence of Continuous Monitoring Plan (TDA-09.1) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Static Code Analysis,TDA-09.2,"Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to employ static code analysis tools to identify and remediate common flaws and document the results of the analysis.","Without Static Code Analysis, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Static Code Analysis (TDA-09.2) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",TDA-09,"Security, Compliance & Resilience Testing Throughout Development","Mechanisms exist to require system developers/integrators consult with security, compliance and/or resilience personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the control testing and evaluation process; and
(3) Document the results.","Security, Compliance & Resilience Testing Throughout Development (TDA-09) provides periodic assessment and assurance that compensates for the absence of Static Code Analysis (TDA-09.2) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Dynamic Code Analysis,TDA-09.3,"Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to employ dynamic code analysis tools to identify and remediate common flaws and document the results of the analysis.","Without Dynamic Code Analysis, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",TDA-09,"Security, Compliance & Resilience Testing Throughout Development","Mechanisms exist to require system developers/integrators consult with security, compliance and/or resilience personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the control testing and evaluation process; and
(3) Document the results.","Security, Compliance & Resilience Testing Throughout Development (TDA-09) provides periodic assessment and assurance that compensates for the absence of Dynamic Code Analysis (TDA-09.3) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Dynamic Code Analysis (TDA-09.3) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Malformed Input Testing,TDA-09.4,"Mechanisms exist to utilize testing methods to ensure Technology Assets, Applications and/or Services (TAAS) continue to operate as intended when subject to invalid or unexpected inputs on its interfaces.","Without Malformed Input Testing, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",IAO-02,Assessments,"Mechanisms exist to formally assess the security, compliance and resilience controls in Technology Assets, Applications and/or Services (TAAS) through Information Assurance Program (IAP) activities to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.","Assessments (IAO-02) provides periodic assessment and assurance that compensates for the absence of Malformed Input Testing (TDA-09.4) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Malformed Input Testing (TDA-09.4) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Application Penetration Testing,TDA-09.5,"Mechanisms exist to perform application-level penetration testing of custom-made Technology Assets, Applications and/or Services (TAAS).","Without Application Penetration Testing, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Application Penetration Testing (TDA-09.5) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAO-02,Assessments,"Mechanisms exist to formally assess the security, compliance and resilience controls in Technology Assets, Applications and/or Services (TAAS) through Information Assurance Program (IAP) activities to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.","Assessments (IAO-02) provides periodic assessment and assurance that compensates for the absence of Application Penetration Testing (TDA-09.5) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Secure Settings By Default,TDA-09.6,"Mechanisms exist to implement secure configuration settings by default to reduce the likelihood of Technology Assets, Applications and/or Services (TAAS) being deployed with weak security settings that would put the TAAS at a greater risk of compromise.","Without Secure Settings By Default, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",TDA-09,"Security, Compliance & Resilience Testing Throughout Development","Mechanisms exist to require system developers/integrators consult with security, compliance and/or resilience personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the control testing and evaluation process; and
(3) Document the results.","Security, Compliance & Resilience Testing Throughout Development (TDA-09) provides periodic assessment and assurance that compensates for the absence of Secure Settings By Default (TDA-09.6) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAO-02,Assessments,"Mechanisms exist to formally assess the security, compliance and resilience controls in Technology Assets, Applications and/or Services (TAAS) through Information Assurance Program (IAP) activities to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.","Assessments (IAO-02) provides periodic assessment and assurance that compensates for the absence of Secure Settings By Default (TDA-09.6) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
